FID,ogc_fid,company,address,city,state,zip_code,feedstock,capacity (Mgal),,
ethanol_plants_201904.158,158,POET Biorefining - Leipsic,3875 State Route 65,Leipsic,OH,45856,Corn,68,,
ethanol_plants_201904.160,160,POET Biorefining - Marion,1660 Hillman-Ford Rd.,Marion,OH,43302,Corn ,150,,
ethanol_plants_201904.190,190,The Andersons Marathon Ethanol LLC,5728 Sebring Warner Road N,Greenville,OH,45331,Corn,110,,
ethanol_plants_201904.191,191,"Three Rivers Energy, LLC",18137 County Road 271,Coshocton,OH,43812,Corn,50,,
ethanol_plants_201904.198,198,Valero Renewable Fuels,3979 State Route 238 NE,Bloomingburg,OH,43106,Corn,130,,
ethanol_plants_201904.69,69,Global Partners,81200 Kallunki Road,Clatskanie,OR,97016,,120,,
ethanol_plants_201904.125,125,"Pacific Ethanol, Inc.",71335 Rail Loop Drive,Boardman,OR,97818,Corn,40,,
ethanol_plants_201904.183,183,Summit Natural Energy,535 North 4th Avenue,Cornelius,OR,97113,waste sugars/starch,2,,
ethanol_plants_201904.135,135,Pennsylvania Grain Processing LLC,250 Technology Dr.,Clearfield,PA,16830,Corn,110,,
ethanol_plants_201904.1,1,"ABE South Dakota, LLC",694 West Park Avenue NW,Huron,SD,57350,Corn,32,,
ethanol_plants_201904.2,2,"ABE South Dakota, LLC",38469 133rd Street,Aberdeen,SD,57401,Corn,53,,
ethanol_plants_201904.46,46,"Dakota Ethanol, LLC",46269 SD HWY 34,Wentworth,SD,57075,Corn,48,,
ethanol_plants_201904.67,67,"Glacial Lakes Energy, LLC",301 20th Avenue SE,Watertown,SD,57201,Corn,120,,
ethanol_plants_201904.68,68,"Glacial Lakes Energy, LLC",13435 370th Avenue,Mina,SD,57451,Corn,100,,
ethanol_plants_201904.122,122,"NuGen Energy, LLC",27283 447th Avenue,Marion,SD,57043,Corn,130,,
ethanol_plants_201904.141,141,POET Biorefining - Big Stone,48416 144th Street,Big Stone City,SD,57216,Corn,79,,
ethanol_plants_201904.144,144,POET Biorefining - Chancellor,27716 462nd Avenue,Chancellor,SD,57015,Corn,110,,
ethanol_plants_201904.152,152,POET Biorefining - Groton,40425 133rd Street,Groton,SD,57445,Corn,53,,
ethanol_plants_201904.154,154,POET Biorefining - Hudson,29619 Spur Avenue,Hudson,SD,57034,Corn,56,,
ethanol_plants_201904.161,161,POET Biorefining - Mitchell,40509 247th Street,Mitchell,SD,57301,Corn ,68,,
ethanol_plants_201904.165,165,POET Research Center,851 Washington St.,Scotland,SD,57059,Corn,11,,
ethanol_plants_201904.170,170,Redfield Energy,38650 171st Street,Redfield,SD,57469,Corn,60,,
ethanol_plants_201904.172,172,Red River Energy LLC,Co Rd 7,Rosholt,SD,57260,Corn,25,,
ethanol_plants_201904.175,175,Ringneck Energy,215 South Main,Onida,SD,57564,Corn,0,,
ethanol_plants_201904.197,197,Valero Renewable Fuels,One VeraSun Place,Aurora,SD,57002,Corn,135,,
ethanol_plants_201904.76,76,Green Plains Inc.,2098 McDonald Rd.,Obion,TN,38253,Corn,120,,
ethanol_plants_201904.185,185,Tate & Lyle,198 Blair Bend Drive,Loudon,TN,37774,Corn,105,,
ethanol_plants_201904.49,49,Diamond Ethanol,103 South FM 2646 ,Levelland,TX,79336,Corn,40,,
ethanol_plants_201904.82,82,Green Plains Inc.,625 N. 25 Mile Ave.,Hereford,TX,79045,Corn,105,,
ethanol_plants_201904.209,209,White Energy,99 S Progressive Road,Hereford,TX,79045,Corn/sorghum,120,,
ethanol_plants_201904.210,210,White Energy,2698 E US Highway 70,Plainview,TX,79072,Corn,120,,
ethanol_plants_201904.115,115,"Maumee Express, Inc. (MXI)",26319 Old Trail Rd,Abingdon,VA,24210,Waste Alcohol,4,,
ethanol_plants_201904.4,4,"Ace Ethanol, LLC",815 West Maple Street,Stanley,WI,54768,Corn/cellulosic biomass,48,,
ethanol_plants_201904.18,18,"Badger State Ethanol, LLC",820 W. 17th Street,Monroe,WI,53566,Corn,90,,
ethanol_plants_201904.21,21,Big River Resources Boyceville LLC,N10185 370th Street,Boyceville,WI,54725,Corn,57,,
ethanol_plants_201904.50,50,"Didion Ethanol, LLC",501 South Williams Street,Cambria,WI,53923,Corn,50,,
ethanol_plants_201904.64,64,"Fox River Valley Ethanol, LLC",4995 State Road 91,Oshkosh,WI,54904,Corn,65,,
ethanol_plants_201904.113,113,"Marquis Energy - Wisconsin, LLC",N9585 State Road 80,Necedah,WI,54646,Corn,60,,
ethanol_plants_201904.193,193,"United Ethanol, LLC",1250 Chicago Street,Milton,WI,53563,Corn,50,,
ethanol_plants_201904.194,194,"United Wisconsin Grain Producers, LLC",W1231 Tessmann Dr.,Friesland,WI,53935,Corn,58,,
ethanol_plants_201904.202,202,Valero Renewable Fuels,N5355 Junction Road,Jefferson,WI,53549,Corn,105,,
